name,nd,vd
J-FK5,1.48749,70.31
J-FK01A,1.497,81.65
J-FKH1,1.49782,82.57
J-FKH2,1.456,91.36
J-PKH1,1.5186,69.89
J-PSK02,1.618,63.34
J-PSK03,1.603,65.44
J-PSKH1,1.59319,67.9
J-PSKH4,1.59349,67.0
J-PSKH8,1.62846,59.17
J-BK7A,1.5168,64.14
J-BAK1,1.5725,57.3
J-BAK2,1.53996,59.52
J-BAK4,1.56883,56.0
J-K3,1.51823,58.82
J-K5,1.52249,59.21
J-KZFH1,1.61266,44.46
J-KZFH4,1.552981,55.07
J-KZFH6,1.68376,37.64
J-KZFH7,1.73211,46.18
J-KZFH9,1.738,32.26
J-KZFH10,1.7888,28.42
J-KZFH11,1.84934,25.08
J-KF6,1.51742,52.2
J-BALF4,1.57957,53.74
J-BAF10,1.67003,47.14
J-BAF11,1.66672,48.33
J-BASF2,1.66446,35.87
J-BASF6,1.66755,41.87
J-BASF7,1.70154,41.02
J-BASF8,1.72342,38.03
J-SK2,1.60738,56.74
J-SK4,1.61272,58.54
J-SK5,1.58913,61.22
J-SK10,1.6228,57.1
J-SK11,1.56384,60.71
J-SK12,1.58313,59.42
J-SK14,1.60311,60.69
J-SK15,1.62299,58.12
J-SK16,1.62041,60.25
J-SK18,1.63854,55.34
J-SSK1,1.6172,53.97
J-SSK5,1.65844,50.84
J-SSK8,1.61772,49.81
J-LLF1,1.54814,45.51
J-LLF2,1.54072,46.97
J-LLF6,1.53172,48.78
J-LF5,1.58144,40.98
J-LF6,1.56732,42.58
J-LF7,1.57501,41.51
J-F1,1.62588,35.72
J-F2,1.62004,36.4
J-F5,1.60342,38.03
J-F8,1.59551,39.21
J-SF1,1.71736,29.57
J-SF2,1.64769,33.73
J-SF4,1.7552,27.57
J-SF5,1.6727,32.19
J-SF6,1.80518,25.45
J-SF6HS,1.80518,25.45
J-SF7,1.6398,34.55
J-SF8,1.68893,31.16
J-SF10,1.72825,28.38
J-SF11,1.78472,25.64
J-SF13,1.74077,27.74
J-SF14,1.76182,26.58
J-SF15,1.69895,30.13
J-SF03,1.84666,23.8
J-SF03HS,1.84666,23.8
J-SFS3,1.7847,26.27
J-SFH1,1.80809,22.74
J-SFH1HS,1.80809,22.74
J-SFH2,1.86074,23.08
J-SFH4,1.66382,27.35
J-SFH5,1.75575,24.71
J-SFH6,1.71338,26.04
J-SFH8,1.622,30.66
J-SFH9,1.79631,22.61
J-LAK7,1.6516,58.57
J-LAK7R,1.6516,58.62
J-LAK8,1.713,53.96
J-LAK10,1.71999,50.27
J-LAK12,1.6779,55.35
J-LAK13,1.6935,53.21
J-LAK14,1.6968,55.52
J-LAK18,1.72916,54.61
J-LAK01,1.64,60.2
J-LAK09,1.734,51.51
J-LAK011,1.741,52.77
J-LASKH2,1.755,52.34
J-LAF2,1.744,44.81
J-LAF3,1.717,47.98
J-LAF7,1.7495,35.25
J-LAF01,1.7,48.11
J-LAF02,1.72,43.61
J-LAF04,1.757,47.86
J-LAF05,1.762,40.11
J-LAF010,1.7432,49.26
J-LAF016,1.801,34.92
J-LAF016HS,1.801,34.92
J-LAFH3,1.79504,28.69
J-LAFH3HS,1.79504,28.69
J-LASF01,1.7859,44.17
J-LASF02,1.79952,42.09
J-LASF03,1.8061,40.97
J-LASF05,1.83481,42.73
J-LASF05HS,1.83481,42.73
J-LASF08A,1.883,40.69
J-LASF09A,1.816,46.59
J-LASF010,1.834,37.18
J-LASF013,1.8044,39.61
J-LASF014,1.788,47.35
J-LASF015,1.804,46.6
J-LASF015HS,1.804,46.6
J-LASF016,1.7725,49.62
J-LASF017,1.795,45.31
J-LASF021,1.85026,32.35
J-LASF021HS,1.85026,32.35
J-LASFH2,1.76684,46.78
J-LASFH6,1.8061,33.34
J-LASFH9A,1.90265,35.77
J-LASFH13,1.90366,31.27
J-LASFH13HS,1.90366,31.27
J-LASFH15,1.95,29.37
J-LASFH15HS,1.95,29.37
J-LASFH15SS,1.95,29.37
J-LASFH16,2.001,29.12
J-LASFH16HS,2.001,29.12
J-LASFH17,2.00069,25.46
J-LASFH17HS,2.00069,25.46
J-LASFH21,1.95375,32.33
J-LASFH22,1.8485,43.79
J-LASFH23,1.85,27.03
J-LASFH24,1.902,25.26
J-LASFH24HS,1.902,25.26
Q-FKH1S,1.49731,82.51
Q-FKH2S,1.45562,91.31
Q-PSKH1S,1.59255,67.86
Q-PSKH2S,1.61875,63.74
Q-PSKH4S,1.59245,66.92
Q-SK15S,1.62291,58.3
Q-SK52S,1.58286,59.51
Q-SK55S,1.58887,61.14
Q-SF6S,1.80301,25.53
Q-LAK52S,1.67798,54.89
Q-LAK53S,1.69343,53.3
Q-LAF010S,1.743,49.25
Q-LAFPH1S,1.743104,49.44
Q-LASF03S,1.80604,40.74
Q-LASFH11S,1.77387,47.25
Q-LASFH12S,1.79063,44.98
Q-LASFH58S,1.85108,40.12
Q-LASFH59S,1.82098,42.5
Q-LASFPH2S,1.765437,46.75
Q-LASFPH3S,1.795256,45.25
